name,url
南京大学招生小蓝鲸,https://mp.weixin.qq.com/s/uAgfUTplGxzS9TNneAjG2Q
南京大学,https://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707719271&idx=1&sn=c28016fad279e1567e4e6d18b7bb355a&chksm=bebd48153db22db1fc433b60041472e6eb62a4e17c4ea3933d02e7bea244cfe55ec476f1f269&scene=0&xtrack=1&subscene=90#rd
南哪助手,http://mp.weixin.qq.com/s?__biz=MzkxNDMxNTU5Nw==&mid=2247500082&idx=1&sn=f056621ca8905ebc5e9d83dca064c0df&chksm=c0462b1992d08c1e967f458afde9baf83395ea02321a16473b20dc5de05a91e3449df353e28b&scene=0&xtrack=1&subscene=90#rd
新生学院,https://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247499433&idx=1&sn=91816fb4938805afd963c3fbae304c99&chksm=c14ca68b132068b76c904f6d344a5f3b54f31f50d32f70ac5fcea8bcfa1699527d07c1d2cce3&scene=0&xtrack=1&subscene=90#rd
物理学院,http://mp.weixin.qq.com/s?__biz=Mzg5NTUxMjg2MA==&mid=2247502100&idx=1&sn=86529d5484ae79d26dbfb54349ba3c2a&chksm=c1305174c435d18ee2a217c02445501a55546bb7fe84d52305babc5b29685c2e55b6bc75b320&scene=0&xtrack=1&subscene=90#rd
南大青年,https://mp.weixin.qq.com/s?__biz=MzA3NzExMDEyMQ==&mid=2651083459&idx=1&sn=3b3257b9e8aac096a01d21216fad028a&chksm=85fb68c0f6ebff0565de885359f6cc1632666b9bc82c439f863432ad8378e8c0e143eec41338&scene=0&xtrack=1&subscene=90#rd
图书馆,https://mp.weixin.qq.com/s?__biz=MjM5NTE5Mjk1Mg==&mid=2650162689&idx=1&sn=b9f8198a28025b9d307e2e73ec15b5a8&chksm=bf71115704e18ddb0935824569df7bf3b5d0ba8e79cde824c2497e048540f036c0d980617542&scene=0&xtrack=1&subscene=90#rd
南大育教,https://mp.weixin.qq.com/s?__biz=MzI1MzIyMzEyMg==&mid=2247589507&idx=2&sn=b37ff7b58b06f8cefe7eda95f003b674&chksm=e81571bd3bdf41a9a873b1dde762378994b6144e0318f4652294e94e0d1162c65cab5fb9a15e&scene=0&xtrack=1&subscene=90#rd
健雄书院,https://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247495859&idx=1&sn=bacd8919ed3a10167e75492123f08071&chksm=c1fc315b8c81aece98406e3afe9bf63e39f0e95c9e26373469d88da6e94a80213ca8cecee494&scene=0&xtrack=1&subscene=90#rd
开甲书院,https://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247521535&idx=1&sn=99ee015c078d52818524989d2209d8df&chksm=c3490a45670f17fa010163ea002771d72eda27506e1cc6180c976df25102aadca6c544949b4d&scene=0&xtrack=1&subscene=90#rd
南大就业,https://mp.weixin.qq.com/s?__biz=MzAxMDA3MjIwMw==&mid=2652147861&idx=3&sn=9d105f4f31d9a5b8ad735f1c60814826&chksm=81f778a6761410459f55e086eb550a22c6513d38017cee59cffaa24473dd813e1db2693ba978&scene=0&xtrack=1&subscene=90#rd
毓琇书院,https://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247503625&idx=1&sn=cdf7763c9cb06e1d9b370c3b7d4d4ade&chksm=cec742b20558b7937d97383d41854d9c820a12a64a870ea33a8664bcf564aaa04a4e5739b3c9&scene=0&xtrack=1&subscene=90#rd
安邦书院,http://mp.weixin.qq.com/s?__biz=Mzk0NzE5NDkwOA==&mid=2247520253&idx=1&sn=3d9b721aff200063999c281c8e92ced7&chksm=c27e3085f54b6b3fce464ff90f0942fe471056a9243560af30004a7fe1b637bf27550cfc443d&scene=0&xtrack=1&subscene=90#rd
哲学学院,https://mp.weixin.qq.com/s?__biz=MzIwMTA2NzIxNg==&mid=2651972361&idx=1&sn=6ddef6ee724ab7133e4d509674fdf00d&chksm=8cce1bda89cdf5a00281a3e458ec177da7ea278d5d7ab381eec913fe95be0ab904518a36963d&scene=0&xtrack=1&subscene=90#rd
智软学院,https://mp.weixin.qq.com/s?__biz=MzkyNzg1ODAxOQ==&mid=2247485942&idx=1&sn=56dc793f9ffb350565714e9d2417336f&chksm=c34862e2af2f9aa77cfb1cbc75441de52be332e97e5c5dd14b727420c67665d9ddef2e4bb35b&scene=0&xtrack=1&subscene=90#rd
苏州校区,https://mp.weixin.qq.com/s?__biz=MzkyMjIxNzQ1Ng==&mid=2247525141&idx=1&sn=82b3759bba234b95067902af9a55cdab&chksm=c0810aa2bdfb4942ffb74261fafd9a9734174294ed8c0269c9445f75044efd6682f5c222abef&scene=0&xtrack=1&subscene=90#rd
计小微,https://mp.weixin.qq.com/s?__biz=MzAwMTExODkzMQ==&mid=2650658898&idx=1&sn=7e43755a0cc8630cc72f01fad372fdf1&chksm=83af7a77c838b017ab4e05ac319156d433f9bdcd9ebf2591c2f7c0cd7b38c7877d9166e8032a&scene=0&xtrack=1&subscene=90#rd
计小妍,https://mp.weixin.qq.com/s?__biz=MzU2NDI3MzM5Nw==&mid=2247499448&idx=1&sn=6732c0fcaa80adb0fc53e7d204a8a2f0&chksm=fd8a193c6b3af89e59b2223dd067313f04e1c7e4d2e2d0b6b1ded0c0c9f915a9dfae29a06e33&scene=0&xtrack=1&subscene=90#rd
南哪校园集市,http://mp.weixin.qq.com/s?__biz=Mzk4ODA0MDQyOQ==&mid=2247488875&idx=1&sn=66f857415ab8fc8bc48961220681ebac&chksm=c478d8044ef9b34981764317f63eb56a2984540eeb0523c76d5ba7d2000473aae588d0d5711c&scene=0&xtrack=1&subscene=90#rd
智科院,http://mp.weixin.qq.com/s?__biz=Mzk0NzQyNjA5Mg==&mid=2247486430&idx=1&sn=e55fbbea6d7be724c6092aee009a4b25&chksm=c214653daf734c0525b3e359b371274e28673b5a741b23378dc87a919f567f84f1425b5d907a&scene=0&xtrack=1&subscene=90#rd
秉文书院,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247523328&idx=1&sn=3deb971d52f66e31f798dd2e5dd968a6&chksm=c3efeb62b9717e9606e5c79488acfa070b24343315fc05f55a00c112d10ea92b834fd52a7a59&scene=0&xtrack=1&subscene=90#rd
学生会,https://mp.weixin.qq.com/s?__biz=MjM5MjY4NTY5NQ==&mid=2652004487&idx=2&sn=a2683e7c50848fb2f7c2632883c714c6&chksm=bc76d4cfa2f17f59bb9fc133b99fbea1441a7d9c0bccb0598970b4e6a90ad6b3126600d7134b&scene=0&xtrack=1&subscene=90#rd
博物馆,http://mp.weixin.qq.com/s?__biz=MzU5MDg1NjE3OA==&mid=2247514478&idx=1&sn=cd38f7cc1f598f6e0ea294d34f99d167&chksm=ff136a5c9170ea2e237a2249af0c52ae324aaa6687a58f0b6ea59069bf0e1114253177d0a555&scene=0&xtrack=1&subscene=90#rd
南大后勤,http://mp.weixin.qq.com/s?__biz=Mzg4NzIzODkzNA==&mid=2247514729&idx=1&sn=094e83da320e264849bee27f8ec1f9f8&chksm=ce67f8d6cf80be2570a0e15ed73cf0109dc3da7c21ac778dff80665c720ba9d153c23fd6dd81&scene=0&xtrack=1&subscene=90#rd
有训书院,https://mp.weixin.qq.com/s?__biz=MjM5MjY4NTY5NQ==&mid=2652004487&idx=2&sn=a2683e7c50848fb2f7c2632883c714c6&chksm=bc76d4cfa2f17f59bb9fc133b99fbea1441a7d9c0bccb0598970b4e6a90ad6b3126600d7134b&scene=0&xtrack=1&subscene=90#rd
